;;; ;Oxygen;Oxygen;Oxygen;;Compensation;Temperature;('C);;Pressure;Humidity;Temp. Probe;Int. Temp.;Analog In;Raw Data:; dphi (°);;;Signal;Intensity;(mV);;Ambient;Light;(mV);;Advanced Raw Values (only logged while raw data window is open);
Date;Time (HH:MM:SS);Time (s);Comment;Ch1;Ch2;Ch3;Ch4;Ch 1;Ch 2;Ch 3;Ch 4;(mbar);(%);('C);('C); (mV);Ch 1;Ch 2;Ch 3;Ch 4;Ch1;Ch2;Ch3;Ch4;Ch1;Ch2;Ch3;Ch4; (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi);
25/09/2024;09:39:11;0.00;;102.03;101.77;---;---;15.429;15.429;15.429;---;996.29;74.042;15.429;---;---;24.452;24.248;14.368;---;58.993;18.498;0.079;---;4.820;5.650;3.677;---;;
25/09/2024;09:39:41;30.00;;101.18;101.47;---;---;15.436;15.436;15.436;---;996.25;74.474;15.436;---;---;24.550;24.282;20.568;---;59.236;18.532;0.074;---;4.826;5.656;3.657;---;;
25/09/2024;09:40:11;60.00;;100.76;101.61;---;---;15.443;15.443;15.443;---;996.25;75.037;15.443;---;---;24.597;24.265;10.444;---;59.356;18.585;0.083;---;4.843;5.666;3.672;---;;
25/09/2024;09:40:41;90.00;;101.14;100.92;---;---;15.454;15.454;15.454;---;996.19;75.489;15.454;---;---;24.553;24.344;19.532;---;59.376;18.564;0.079;---;4.815;5.606;3.652;---;;
25/09/2024;09:41:11;120.00;;100.89;100.72;---;---;15.458;15.458;15.458;---;996.16;76.054;15.458;---;---;24.581;24.367;15.420;---;59.430;18.581;0.050;---;4.792;5.614;3.658;---;;
25/09/2024;09:41:41;150.00;;101.51;101.02;---;---;15.471;15.471;15.471;---;996.16;76.115;15.471;---;---;24.508;24.330;7.084;---;59.444;18.607;0.058;---;4.809;5.671;3.660;---;;
25/09/2024;09:42:11;180.00;;100.85;100.99;---;---;15.482;15.482;15.482;---;996.18;76.305;15.482;---;---;24.583;24.334;18.826;---;59.410;18.613;0.085;---;4.848;5.614;3.634;---;;
25/09/2024;09:42:41;210.00;;100.82;101.66;---;---;15.495;15.495;15.495;---;996.13;76.026;15.495;---;---;24.586;24.255;14.975;---;59.394;18.600;0.083;---;4.791;5.631;3.622;---;;
25/09/2024;09:43:11;240.00;;101.14;101.17;---;---;15.503;15.503;15.503;---;996.21;75.626;15.503;---;---;24.548;24.310;16.800;---;59.453;18.577;0.068;---;4.776;5.631;3.611;---;;
25/09/2024;09:43:41;270.00;;101.07;101.42;---;---;15.513;15.513;15.513;---;996.14;75.164;15.513;---;---;24.555;24.281;1.773;---;59.388;18.600;0.076;---;4.821;5.611;3.620;---;;
25/09/2024;09:44:11;300.00;;100.49;101.46;---;---;15.521;15.521;15.521;---;996.18;74.894;15.521;---;---;24.621;24.275;6.773;---;59.381;18.576;0.062;---;4.794;5.660;3.607;---;;
25/09/2024;09:44:41;330.00;;100.75;101.66;---;---;15.529;15.529;15.529;---;996.16;74.449;15.529;---;---;24.590;24.251;1.488;---;59.388;18.565;0.062;---;4.830;5.620;3.623;---;;
25/09/2024;09:45:11;360.00;;100.35;101.62;---;---;15.532;15.532;15.532;---;996.22;73.727;15.532;---;---;24.636;24.255;8.022;---;59.406;18.593;0.075;---;4.812;5.670;3.624;---;;
25/09/2024;09:45:41;390.00;;100.68;100.97;---;---;15.531;15.531;15.531;---;996.16;73.671;15.531;---;---;24.598;24.330;9.627;---;59.401;18.576;0.076;---;4.875;5.614;3.644;---;;
25/09/2024;09:46:11;420.00;;100.72;101.93;---;---;15.532;15.532;15.532;---;996.20;73.223;15.532;---;---;24.592;24.218;6.289;---;59.420;18.560;0.081;---;4.817;5.626;3.630;---;;
25/09/2024;09:46:41;450.00;;100.78;101.58;---;---;15.540;15.540;15.540;---;996.18;73.429;15.540;---;---;24.585;24.259;17.940;---;59.399;18.540;0.065;---;4.866;5.606;3.643;---;;
25/09/2024;09:47:11;480.00;;100.14;101.82;---;---;15.540;15.540;15.540;---;996.21;73.775;15.540;---;---;24.660;24.230;11.106;---;59.488;18.580;0.066;---;4.816;5.655;3.637;---;;
25/09/2024;09:47:41;510.00;;100.45;101.14;---;---;15.530;15.530;15.530;---;996.22;74.352;15.530;---;---;24.624;24.310;2.031;---;59.513;18.569;0.057;---;4.867;5.637;3.618;---;;
25/09/2024;09:48:11;540.00;;100.32;101.08;---;---;15.519;15.519;15.519;---;996.18;74.841;15.519;---;---;24.641;24.318;3.714;---;59.520;18.560;0.047;---;4.814;5.643;3.615;---;;
25/09/2024;09:48:41;570.00;;100.72;101.52;---;---;15.520;15.520;15.520;---;996.20;75.260;15.520;---;---;24.594;24.267;15.717;---;59.570;18.613;0.060;---;4.810;5.637;3.625;---;;
