Date [A Ch.2 Main];Time [A Ch.2 Main];dt (s) [A Ch.2 Main];Oxygen (%air sat.) [A Ch.2 Main];dphi (∞) [A Ch.2 Main];Signal Intensity (mV) [A Ch.2 Main];Ambient Light (mV) [A Ch.2 Main];Status [A Ch.2 Main];Date [A Ch.2 CompT];Time [A Ch.2 CompT];dt (s) [A Ch.2 CompT];Sample Temp. (∞C) [A Ch.2 CompT];Status [A Ch.2 CompT];Date [A Ch.2 CompP];Time [A Ch.2 CompP];dt (s) [A Ch.2 CompP];Pressure (mbar) [A Ch.2 CompP];Status [A Ch.2 CompP];Date [A Ch.3 Main];Time [A Ch.3 Main];dt (s) [A Ch.3 Main];Oxygen (%air sat.) [A Ch.3 Main];dphi (∞) [A Ch.3 Main];Signal Intensity (mV) [A Ch.3 Main];Ambient Light (mV) [A Ch.3 Main];Status [A Ch.3 Main];Date [A Ch.3 CompT];Time [A Ch.3 CompT];dt (s) [A Ch.3 CompT];Sample Temp. (∞C) [A Ch.3 CompT];Status [A Ch.3 CompT];Date [A Ch.3 CompP];Time [A Ch.3 CompP];dt (s) [A Ch.3 CompP];Pressure (mbar) [A Ch.3 CompP];Status [A Ch.3 CompP];Date [A Ch.4 Main];Time [A Ch.4 Main];dt (s) [A Ch.4 Main];Oxygen (%air sat.) [A Ch.4 Main];dphi (∞) [A Ch.4 Main];Signal Intensity (mV) [A Ch.4 Main];Ambient Light (mV) [A Ch.4 Main];Status [A Ch.4 Main];Date [A Ch.4 CompT];Time [A Ch.4 CompT];dt (s) [A Ch.4 CompT];Sample Temp. (∞C) [A Ch.4 CompT];Status [A Ch.4 CompT];Date [A Ch.4 CompP];Time [A Ch.4 CompP];dt (s) [A Ch.4 CompP];Pressure (mbar) [A Ch.4 CompP];Status [A Ch.4 CompP];Date [A T1];Time [A T1];dt (s) [A T1];Sample Temp. (∞C) [A T1];Status [A T1];Date [Comment];Time [Comment];Comment
24-09-2024;13:13:08.628;0.032;102.248;24.385;149;1;OK;24-09-2024;13:13:08.628;0.032;15.547;OK;24-09-2024;13:13:08.628;0.032;996;OK;24-09-2024;13:13:08.761;0.165;105.879;24.303;50;1;OK;24-09-2024;13:13:08.761;0.165;15.547;OK;24-09-2024;13:13:08.761;0.165;996;OK;24-09-2024;13:13:08.967;0.371;103.417;24.238;60;0;OK;24-09-2024;13:13:08.967;0.371;15.546;OK;24-09-2024;13:13:08.967;0.371;996;OK;24-09-2024;13:14:09.165;60.569;15.530;OK;;;
24-09-2024;13:13:38.618;30.022;102.119;24.402;148;1;OK;24-09-2024;13:13:38.618;30.022;15.538;OK;24-09-2024;13:13:38.618;30.022;995;OK;24-09-2024;13:13:38.948;30.352;105.417;24.355;50;1;OK;24-09-2024;13:13:38.948;30.352;15.538;OK;24-09-2024;13:13:38.948;30.352;996;OK;24-09-2024;13:13:38.751;30.155;103.271;24.256;60;0;OK;24-09-2024;13:13:38.751;30.155;15.538;OK;24-09-2024;13:13:38.751;30.155;996;OK;24-09-2024;13:15:09.184;120.588;15.499;OK;;;
24-09-2024;13:14:08.618;60.022;101.836;24.433;149;1;OK;24-09-2024;13:14:08.618;60.022;15.530;OK;24-09-2024;13:14:08.618;60.022;996;OK;24-09-2024;13:14:08.948;60.352;105.096;24.390;50;1;OK;24-09-2024;13:14:08.948;60.352;15.530;OK;24-09-2024;13:14:08.948;60.352;996;OK;24-09-2024;13:14:08.751;60.155;103.426;24.240;60;1;OK;24-09-2024;13:14:08.751;60.155;15.529;OK;24-09-2024;13:14:08.751;60.155;996;OK;24-09-2024;13:16:09.176;180.581;15.502;OK;;;
24-09-2024;13:14:38.621;90.025;101.723;24.449;149;0;OK;24-09-2024;13:14:38.621;90.025;15.512;OK;24-09-2024;13:14:38.621;90.025;996;OK;24-09-2024;13:14:38.950;90.354;104.750;24.431;50;0;OK;24-09-2024;13:14:38.950;90.354;15.511;OK;24-09-2024;13:14:38.950;90.354;996;OK;24-09-2024;13:14:38.751;90.155;103.518;24.231;60;0;OK;24-09-2024;13:14:38.751;90.155;15.512;OK;24-09-2024;13:14:38.751;90.155;996;OK;24-09-2024;13:17:09.046;240.451;15.505;OK;;;
24-09-2024;13:15:08.622;120.026;101.544;24.471;148;1;OK;24-09-2024;13:15:08.622;120.026;15.499;OK;24-09-2024;13:15:08.622;120.026;996;OK;24-09-2024;13:15:08.968;120.372;104.749;24.433;50;0;OK;24-09-2024;13:15:08.968;120.372;15.499;OK;24-09-2024;13:15:08.968;120.372;996;OK;24-09-2024;13:15:08.773;120.177;103.293;24.258;60;0;OK;24-09-2024;13:15:08.773;120.177;15.499;OK;24-09-2024;13:15:08.773;120.177;996;OK;24-09-2024;13:18:09.046;300.450;15.514;OK;;;
24-09-2024;13:15:38.624;150.028;101.519;24.474;148;1;OK;24-09-2024;13:15:38.624;150.028;15.500;OK;24-09-2024;13:15:38.624;150.028;996;OK;24-09-2024;13:15:38.958;150.363;104.688;24.439;50;0;OK;24-09-2024;13:15:38.958;150.363;15.499;OK;24-09-2024;13:15:38.958;150.363;996;OK;24-09-2024;13:15:38.757;150.161;103.450;24.240;60;0;OK;24-09-2024;13:15:38.757;150.161;15.499;OK;24-09-2024;13:15:38.757;150.161;996;OK;24-09-2024;13:19:08.853;360.257;15.519;OK;;;
24-09-2024;13:16:08.823;180.227;101.392;24.488;149;0;OK;24-09-2024;13:16:08.823;180.227;15.501;OK;24-09-2024;13:16:08.823;180.227;996;OK;24-09-2024;13:16:08.957;180.361;104.722;24.435;50;0;OK;24-09-2024;13:16:08.957;180.361;15.501;OK;24-09-2024;13:16:08.957;180.361;996;OK;24-09-2024;13:16:08.627;180.031;103.457;24.239;60;0;OK;24-09-2024;13:16:08.627;180.031;15.502;OK;24-09-2024;13:16:08.627;180.031;996;OK;24-09-2024;13:20:09.053;420.457;15.517;OK;;;
24-09-2024;13:16:38.627;210.031;101.422;24.484;149;0;OK;24-09-2024;13:16:38.627;210.031;15.504;OK;24-09-2024;13:16:38.627;210.031;996;OK;24-09-2024;13:16:38.958;210.362;104.570;24.452;50;1;OK;24-09-2024;13:16:38.958;210.362;15.504;OK;24-09-2024;13:16:38.958;210.362;996;OK;24-09-2024;13:16:38.761;210.165;103.471;24.238;60;1;OK;24-09-2024;13:16:38.761;210.165;15.504;OK;24-09-2024;13:16:38.761;210.165;996;OK;24-09-2024;13:21:08.861;480.265;15.511;OK;;;
24-09-2024;13:17:09.058;240.463;101.401;24.487;149;0;OK;24-09-2024;13:17:09.058;240.463;15.505;OK;24-09-2024;13:17:09.058;240.463;996;OK;24-09-2024;13:17:08.829;240.233;104.558;24.453;50;0;OK;24-09-2024;13:17:08.829;240.233;15.506;OK;24-09-2024;13:17:08.829;240.233;996;OK;24-09-2024;13:17:08.631;240.035;103.471;24.237;60;1;OK;24-09-2024;13:17:08.631;240.035;15.506;OK;24-09-2024;13:17:08.631;240.035;996;OK;24-09-2024;13:22:08.862;540.266;15.496;OK;;;
24-09-2024;13:17:39.049;270.453;101.364;24.491;149;1;OK;24-09-2024;13:17:39.049;270.453;15.508;OK;24-09-2024;13:17:39.049;270.453;996;OK;24-09-2024;13:17:38.830;270.234;104.411;24.469;50;1;OK;24-09-2024;13:17:38.830;270.234;15.507;OK;24-09-2024;13:17:38.830;270.234;996;OK;24-09-2024;13:17:38.632;270.036;103.398;24.246;60;0;OK;24-09-2024;13:17:38.632;270.036;15.508;OK;24-09-2024;13:17:38.632;270.036;995;OK;24-09-2024;13:23:08.861;600.265;15.495;OK;;;
24-09-2024;13:18:09.058;300.462;101.406;24.486;149;0;OK;24-09-2024;13:18:09.058;300.462;15.514;OK;24-09-2024;13:18:09.058;300.462;996;OK;24-09-2024;13:18:08.830;300.235;104.358;24.475;50;0;OK;24-09-2024;13:18:08.830;300.235;15.514;OK;24-09-2024;13:18:08.830;300.235;995;OK;24-09-2024;13:18:08.632;300.036;103.373;24.248;60;1;OK;24-09-2024;13:18:08.632;300.036;15.513;OK;24-09-2024;13:18:08.632;300.036;996;OK;24-09-2024;13:24:08.858;660.262;15.495;OK;;;
24-09-2024;13:18:39.050;330.454;101.310;24.497;149;0;OK;24-09-2024;13:18:39.050;330.454;15.517;OK;24-09-2024;13:18:39.050;330.454;995;OK;24-09-2024;13:18:38.635;330.040;104.409;24.468;51;0;OK;24-09-2024;13:18:38.635;330.040;15.518;OK;24-09-2024;13:18:38.635;330.040;996;OK;24-09-2024;13:18:38.854;330.258;103.267;24.259;60;0;OK;24-09-2024;13:18:38.854;330.258;15.519;OK;24-09-2024;13:18:38.854;330.258;996;OK;24-09-2024;13:25:09.081;720.485;15.489;OK;;;
24-09-2024;13:19:09.061;360.465;101.308;24.497;149;0;OK;24-09-2024;13:19:09.061;360.465;15.520;OK;24-09-2024;13:19:09.061;360.465;995;OK;24-09-2024;13:19:08.637;360.041;104.315;24.479;51;0;OK;24-09-2024;13:19:08.637;360.041;15.519;OK;24-09-2024;13:19:08.637;360.041;996;OK;24-09-2024;13:19:08.863;360.267;103.244;24.262;60;0;OK;24-09-2024;13:19:08.863;360.267;15.519;OK;24-09-2024;13:19:08.863;360.267;996;OK;24-09-2024;13:26:09.203;780.607;15.488;OK;;;
24-09-2024;13:19:39.054;390.458;101.192;24.510;149;1;OK;24-09-2024;13:19:39.054;390.458;15.518;OK;24-09-2024;13:19:39.054;390.458;996;OK;24-09-2024;13:19:38.636;390.040;104.335;24.477;51;1;OK;24-09-2024;13:19:38.636;390.040;15.519;OK;24-09-2024;13:19:38.636;390.040;995;OK;24-09-2024;13:19:38.854;390.258;103.409;24.244;60;1;OK;24-09-2024;13:19:38.854;390.258;15.519;OK;24-09-2024;13:19:38.854;390.258;995;OK;24-09-2024;13:27:09.066;840.470;15.484;OK;;;
24-09-2024;13:20:09.064;420.468;101.189;24.511;149;1;OK;24-09-2024;13:20:09.064;420.468;15.517;OK;24-09-2024;13:20:09.064;420.468;995;OK;24-09-2024;13:20:08.638;420.042;104.231;24.489;51;0;OK;24-09-2024;13:20:08.638;420.042;15.516;OK;24-09-2024;13:20:08.638;420.042;995;OK;24-09-2024;13:20:08.857;420.261;103.371;24.248;60;0;OK;24-09-2024;13:20:08.857;420.261;15.516;OK;24-09-2024;13:20:08.857;420.261;996;OK;24-09-2024;13:28:09.069;900.473;15.478;OK;;;
24-09-2024;13:20:39.060;450.464;101.158;24.515;149;1;OK;24-09-2024;13:20:39.060;450.464;15.513;OK;24-09-2024;13:20:39.060;450.464;995;OK;24-09-2024;13:20:38.840;450.244;104.307;24.481;51;0;OK;24-09-2024;13:20:38.840;450.244;15.514;OK;24-09-2024;13:20:38.840;450.244;995;OK;24-09-2024;13:20:38.641;450.045;103.507;24.232;60;0;OK;24-09-2024;13:20:38.641;450.045;15.513;OK;24-09-2024;13:20:38.641;450.045;996;OK;24-09-2024;13:29:09.064;960.468;15.471;OK;;;
24-09-2024;13:21:09.072;480.476;101.101;24.521;149;1;OK;24-09-2024;13:21:09.072;480.476;15.511;OK;24-09-2024;13:21:09.072;480.476;996;OK;24-09-2024;13:21:08.644;480.048;104.309;24.481;51;1;OK;24-09-2024;13:21:08.644;480.048;15.511;OK;24-09-2024;13:21:08.644;480.048;995;OK;24-09-2024;13:21:08.875;480.279;103.365;24.249;60;0;OK;24-09-2024;13:21:08.875;480.279;15.511;OK;24-09-2024;13:21:08.875;480.279;996;OK;24-09-2024;13:30:08.875;1020.279;15.462;OK;;;
24-09-2024;13:21:39.058;510.462;101.340;24.494;149;0;OK;24-09-2024;13:21:39.058;510.462;15.505;OK;24-09-2024;13:21:39.058;510.462;996;OK;24-09-2024;13:21:38.641;510.045;104.078;24.507;51;0;OK;24-09-2024;13:21:38.641;510.045;15.504;OK;24-09-2024;13:21:38.641;510.045;996;OK;24-09-2024;13:21:38.860;510.265;103.308;24.256;60;0;OK;24-09-2024;13:21:38.860;510.265;15.504;OK;24-09-2024;13:21:38.860;510.265;996;OK;24-09-2024;13:31:09.075;1080.480;15.462;OK;;;
24-09-2024;13:22:09.070;540.474;101.222;24.509;149;0;OK;24-09-2024;13:22:09.070;540.474;15.495;OK;24-09-2024;13:22:09.070;540.474;996;OK;24-09-2024;13:22:08.642;540.047;104.315;24.482;51;0;OK;24-09-2024;13:22:08.642;540.047;15.497;OK;24-09-2024;13:22:08.642;540.047;995;OK;24-09-2024;13:22:08.873;540.277;103.356;24.252;60;1;OK;24-09-2024;13:22:08.873;540.277;15.496;OK;24-09-2024;13:22:08.873;540.277;996;OK;24-09-2024;13:32:09.075;1140.479;15.453;OK;;;
